CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
baseline	source_only	wasserstein	out_domain	NA	2024	manual_20260505_162529	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s2024
baseline	source_only	wasserstein	out_domain	NA	256	manual_20260505_233436	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s256
baseline	source_only	wasserstein	out_domain	NA	3	manual_20260505_205159	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s3
baseline	source_only	wasserstein	out_domain	NA	42	manual_20260505_145441	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s42
baseline	source_only	wasserstein	out_domain	NA	512	manual_20260505_155524	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s512
baseline	source_only	wasserstein	out_domain	NA	7	manual_20260505_142433	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s7
baseline	source_only	wasserstein	out_domain	NA	999	manual_20260505_234538	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s999
baseline	target_only	dtw	in_domain	NA	0	manual_20260505_065237	baseline_domain_knn_dtw_in_domain_target_only_split2_s0
baseline	target_only	dtw	in_domain	NA	1	manual_20260505_072243	baseline_domain_knn_dtw_in_domain_target_only_split2_s1
baseline	target_only	dtw	in_domain	NA	123	manual_20260505_082306	baseline_domain_knn_dtw_in_domain_target_only_split2_s123
baseline	target_only	dtw	in_domain	NA	13	manual_20260505_075255	baseline_domain_knn_dtw_in_domain_target_only_split2_s13
baseline	target_only	dtw	in_domain	NA	1337	manual_20260505_092318	baseline_domain_knn_dtw_in_domain_target_only_split2_s1337
baseline	target_only	dtw	in_domain	NA	2024	manual_20260505_092318	baseline_domain_knn_dtw_in_domain_target_only_split2_s2024
baseline	target_only	dtw	in_domain	NA	256	manual_20260505_140959	baseline_domain_knn_dtw_in_domain_target_only_split2_s256
baseline	target_only	dtw	in_domain	NA	3	manual_20260505_072244	baseline_domain_knn_dtw_in_domain_target_only_split2_s3
baseline	target_only	dtw	in_domain	NA	42	manual_20260505_225257	baseline_domain_knn_dtw_in_domain_target_only_split2_s42
baseline	target_only	dtw	in_domain	NA	512	manual_20260505_085313	baseline_domain_knn_dtw_in_domain_target_only_split2_s512
baseline	target_only	dtw	in_domain	NA	7	manual_20260505_075254	baseline_domain_knn_dtw_in_domain_target_only_split2_s7
baseline	target_only	dtw	in_domain	NA	999	manual_20260505_085313	baseline_domain_knn_dtw_in_domain_target_only_split2_s999
baseline	target_only	dtw	out_domain	NA	0	manual_20260504_205040	baseline_domain_knn_dtw_out_domain_target_only_split2_s0
baseline	target_only	dtw	out_domain	NA	1	manual_20260504_205040	baseline_domain_knn_dtw_out_domain_target_only_split2_s1
baseline	target_only	dtw	out_domain	NA	123	manual_20260504_215100	baseline_domain_knn_dtw_out_domain_target_only_split2_s123
baseline	target_only	dtw	out_domain	NA	13	manual_20260505_035825	baseline_domain_knn_dtw_out_domain_target_only_split2_s13
baseline	target_only	dtw	out_domain	NA	1337	manual_20260504_225112	baseline_domain_knn_dtw_out_domain_target_only_split2_s1337
baseline	target_only	dtw	out_domain	NA	2024	manual_20260505_053719	baseline_domain_knn_dtw_out_domain_target_only_split2_s2024
baseline	target_only	dtw	out_domain	NA	256	manual_20260505_042201	baseline_domain_knn_dtw_out_domain_target_only_split2_s256
baseline	target_only	dtw	out_domain	NA	3	manual_20260504_212049	baseline_domain_knn_dtw_out_domain_target_only_split2_s3
baseline	target_only	dtw	out_domain	NA	42	manual_20260506_154808	baseline_domain_knn_dtw_out_domain_target_only_split2_s42
baseline	target_only	dtw	out_domain	NA	512	manual_20260504_222104	baseline_domain_knn_dtw_out_domain_target_only_split2_s512
baseline	target_only	dtw	out_domain	NA	7	manual_20260504_212049	baseline_domain_knn_dtw_out_domain_target_only_split2_s7
baseline	target_only	dtw	out_domain	NA	999	manual_20260504_225111	baseline_domain_knn_dtw_out_domain_target_only_split2_s999
baseline	target_only	mmd	in_domain	NA	0	manual_20260504_104901	baseline_domain_knn_mmd_in_domain_target_only_split2_s0
baseline	target_only	mmd	in_domain	NA	123	manual_20260506_181833	baseline_domain_knn_mmd_in_domain_target_only_split2_s123
baseline	target_only	mmd	in_domain	NA	13	manual_20260505_051343	baseline_domain_knn_mmd_in_domain_target_only_split2_s13
baseline	target_only	mmd	in_domain	NA	1337	manual_20260504_124926	baseline_domain_knn_mmd_in_domain_target_only_split2_s1337
baseline	target_only	mmd	in_domain	NA	2024	manual_20260504_124926	baseline_domain_knn_mmd_in_domain_target_only_split2_s2024
baseline	target_only	mmd	in_domain	NA	256	manual_20260504_114915	baseline_domain_knn_mmd_in_domain_target_only_split2_s256
baseline	target_only	mmd	in_domain	NA	3	manual_20260504_111908	baseline_domain_knn_mmd_in_domain_target_only_split2_s3
baseline	target_only	mmd	in_domain	NA	42	manual_20260503_140915	baseline_domain_knn_mmd_in_domain_target_only_split2_s42
baseline	target_only	mmd	in_domain	NA	512	manual_20260504_121921	baseline_domain_knn_mmd_in_domain_target_only_split2_s512
baseline	target_only	mmd	in_domain	NA	7	manual_20260504_111907	baseline_domain_knn_mmd_in_domain_target_only_split2_s7
baseline	target_only	mmd	in_domain	NA	999	manual_20260505_063403	baseline_domain_knn_mmd_in_domain_target_only_split2_s999
baseline	target_only	mmd	out_domain	NA	0	manual_20260504_145147	baseline_domain_knn_mmd_out_domain_target_only_split2_s0
baseline	target_only	mmd	out_domain	NA	1	manual_20260506_173123	baseline_domain_knn_mmd_out_domain_target_only_split2_s1
baseline	target_only	mmd	out_domain	NA	123	manual_20260503_162801	baseline_domain_knn_mmd_out_domain_target_only_split2_s123
baseline	target_only	mmd	out_domain	NA	13	manual_20260504_031559	baseline_domain_knn_mmd_out_domain_target_only_split2_s13
baseline	target_only	mmd	out_domain	NA	1337	manual_20260504_032101	baseline_domain_knn_mmd_out_domain_target_only_split2_s1337
baseline	target_only	mmd	out_domain	NA	2024	manual_20260504_033804	baseline_domain_knn_mmd_out_domain_target_only_split2_s2024
baseline	target_only	mmd	out_domain	NA	256	manual_20260504_013359	baseline_domain_knn_mmd_out_domain_target_only_split2_s256
baseline	target_only	mmd	out_domain	NA	3	manual_20260503_231925	baseline_domain_knn_mmd_out_domain_target_only_split2_s3
baseline	target_only	mmd	out_domain	NA	42	manual_20260503_151922	baseline_domain_knn_mmd_out_domain_target_only_split2_s42
baseline	target_only	mmd	out_domain	NA	512	manual_20260504_090533	baseline_domain_knn_mmd_out_domain_target_only_split2_s512
baseline	target_only	mmd	out_domain	NA	7	manual_20260504_031600	baseline_domain_knn_mmd_out_domain_target_only_split2_s7
baseline	target_only	mmd	out_domain	NA	999	manual_20260504_025424	baseline_domain_knn_mmd_out_domain_target_only_split2_s999
baseline	target_only	wasserstein	in_domain	NA	0	manual_20260506_030120	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s0
baseline	target_only	wasserstein	in_domain	NA	1	manual_20260506_030120	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s1
baseline	target_only	wasserstein	in_domain	NA	123	manual_20260506_183907	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s123
baseline	target_only	wasserstein	in_domain	NA	13	manual_20260506_040132	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s13
baseline	target_only	wasserstein	in_domain	NA	1337	manual_20260506_053222	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s1337
baseline	target_only	wasserstein	in_domain	NA	2024	manual_20260506_114934	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s2024
baseline	target_only	wasserstein	in_domain	NA	256	manual_20260506_050214	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s256
baseline	target_only	wasserstein	in_domain	NA	3	manual_20260506_033125	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s3
baseline	target_only	wasserstein	in_domain	NA	42	manual_20260506_043137	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s42
baseline	target_only	wasserstein	in_domain	NA	512	manual_20260506_050214	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s512
baseline	target_only	wasserstein	in_domain	NA	7	manual_20260506_033125	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s7
baseline	target_only	wasserstein	in_domain	NA	999	manual_20260506_053222	baseline_domain_knn_wasserstein_in_domain_target_only_split2_s999
baseline	target_only	wasserstein	out_domain	NA	0	manual_20260506_002317	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s0
baseline	target_only	wasserstein	out_domain	NA	1	manual_20260505_165536	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s1
baseline	target_only	wasserstein	out_domain	NA	123	manual_20260505_182856	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s123
baseline	target_only	wasserstein	out_domain	NA	13	manual_20260505_175847	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s13
baseline	target_only	wasserstein	out_domain	NA	1337	manual_20260505_192912	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s1337
baseline	target_only	wasserstein	out_domain	NA	2024	manual_20260505_195919	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s2024
baseline	target_only	wasserstein	out_domain	NA	256	manual_20260505_185903	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s256
baseline	target_only	wasserstein	out_domain	NA	3	manual_20260505_172842	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s3
baseline	target_only	wasserstein	out_domain	NA	42	manual_20260505_182857	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s42
baseline	target_only	wasserstein	out_domain	NA	512	manual_20260505_185903	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s512
baseline	target_only	wasserstein	out_domain	NA	7	manual_20260506_004852	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s7
baseline	target_only	wasserstein	out_domain	NA	999	manual_20260505_192912	baseline_domain_knn_wasserstein_out_domain_target_only_split2_s999
smote	mixed	dtw	in_domain	0.1	0	manual_20260505_095326	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s0
smote	mixed	dtw	in_domain	0.1	1	manual_20260505_151143	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s1
smote	mixed	dtw	in_domain	0.1	123	manual_20260505_112348	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s123
smote	mixed	dtw	in_domain	0.1	13	manual_20260505_105340	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s13
smote	mixed	dtw	in_domain	0.1	1337	manual_20260505_185834	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s1337
smote	mixed	dtw	in_domain	0.1	2024	manual_20260505_201220	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s2024
smote	mixed	dtw	in_domain	0.1	256	manual_20260505_115356	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s256
smote	mixed	dtw	in_domain	0.1	3	manual_20260505_102334	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s3
smote	mixed	dtw	in_domain	0.1	42	manual_20260505_105340	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s42
smote	mixed	dtw	in_domain	0.1	512	manual_20260505_115357	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s512
smote	mixed	dtw	in_domain	0.1	7	manual_20260505_102333	imbalv3_knn_dtw_in_domain_mixed_split2_subjectwise_ratio0.1_s7
