CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
smote_plain	source_only	wasserstein	out_domain	0.5	13	manual_20260505_145520	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	wasserstein	out_domain	0.5	1337	manual_20260505_162531	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	wasserstein	out_domain	0.5	2024	manual_20260505_162529	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s2024
smote_plain	source_only	wasserstein	out_domain	0.5	256	manual_20260505_155522	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	wasserstein	out_domain	0.5	3	manual_20260505_142432	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	wasserstein	out_domain	0.5	42	manual_20260505_145441	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	wasserstein	out_domain	0.5	512	manual_20260505_155524	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	wasserstein	out_domain	0.5	7	manual_20260505_212807	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s7
smote_plain	source_only	wasserstein	out_domain	0.5	999	manual_20260505_162528	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s999
smote_plain	target_only	dtw	in_domain	0.1	0	manual_20260505_065237	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s0
smote_plain	target_only	dtw	in_domain	0.1	1	manual_20260505_072243	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s1
smote_plain	target_only	dtw	in_domain	0.1	123	manual_20260505_082301	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s123
smote_plain	target_only	dtw	in_domain	0.1	13	manual_20260505_075255	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s13
smote_plain	target_only	dtw	in_domain	0.1	1337	manual_20260505_092318	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s1337
smote_plain	target_only	dtw	in_domain	0.1	2024	manual_20260505_092319	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s2024
smote_plain	target_only	dtw	in_domain	0.1	256	manual_20260505_142633	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s256
smote_plain	target_only	dtw	in_domain	0.1	3	manual_20260505_072244	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s3
smote_plain	target_only	dtw	in_domain	0.1	42	manual_20260505_225628	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s42
smote_plain	target_only	dtw	in_domain	0.1	512	manual_20260505_085313	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s512
smote_plain	target_only	dtw	in_domain	0.1	7	manual_20260505_075254	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s7
smote_plain	target_only	dtw	in_domain	0.1	999	manual_20260505_085311	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.1_s999
smote_plain	target_only	dtw	in_domain	0.5	0	manual_20260505_132548	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.5_s0
smote_plain	target_only	dtw	in_domain	0.5	1	manual_20260505_072244	smote_plain_knn_dtw_in_domain_target_only_split2_ratio0.5_s1
